experiment_id,model_family,ligand_repr,protein_repr,test_rmse,test_pearson_r,test_spearman_r
ridge_chemberta_77M_esm2_35M_480,linear,chemberta_77M,esm2_35M_480,1.3368,0.5374,0.4534
bica_smiles_char_protein_char,bica,smiles_char,protein_char,1.337,0.478,0.3874
distmat_cnn_protein_char,distmat_cnn,distmat_100,protein_char,1.3434,0.4857,0.4228
transformer_smiles_char_protein_char,transformer,smiles_char,protein_char,1.345,0.4724,0.4059
ridge_chemberta_77M_esm2_650M,linear,chemberta_77M,esm2_650M,1.346,0.5441,0.4745
gcn_ecfp_aac,gcn,mol_graph,aac_20,1.3472,0.5171,0.4694
ridge_chemberta_5M_prot_electra_256,linear,chemberta_5M,prot_electra_256,1.3504,0.5484,0.5021
cnn_smiles_onehot_protein_char,cnn,smiles_onehot,protein_char,1.3524,0.5119,0.4501
gat_ecfp_aac,gat,mol_graph,aac_20,1.3525,0.5089,0.4499
cnn_smiles_onehot_kmer3_8000,cnn,smiles_onehot,kmer3_8000,1.3561,0.506,0.4302
gat_mol_graph_protein_char,gat,mol_graph,protein_char,1.3572,0.5162,0.4794
cnn_smiles_onehot_prot_electra_256,cnn,smiles_onehot,prot_electra_256,1.368,0.4855,0.4027
transformer_seq_smiles_bpe_1000_protein_bpe_1000,transformer_seq,smiles_bpe_1000,protein_bpe_1000,1.3698,0.5448,0.5124
transformer_seq_smiles_bpe_1000_protein_char,transformer_seq,smiles_bpe_1000,protein_char,1.373,0.5421,0.4843
cnn_smiles_onehot_esm2_650M,cnn,smiles_onehot,esm2_650M,1.3769,0.4916,0.4188
ridge_chemberta_77M_prot_electra_256,linear,chemberta_77M,prot_electra_256,1.3785,0.5189,0.4615
cnn_smiles_onehot_aac,cnn,smiles_onehot,aac_20,1.3787,0.5005,0.4371
ridge_chemberta_77M_esmc_300M,linear,chemberta_77M,esmc_300M,1.3871,0.5091,0.4546
gcn_mol_graph_protein_char,gcn,mol_graph,protein_char,1.3877,0.5025,0.4456
ridge_chemberta_600_esm2_35M_480,linear,chemberta_600,esm2_35M_480,1.388,0.5539,0.4919
cnn_smiles_onehot_esm2_35M_480,cnn,smiles_onehot,esm2_35M_480,1.3893,0.4968,0.4124
ridge_chemberta_600_esm2_150M,linear,chemberta_600,esm2_150M,1.3948,0.5546,0.4908
ridge_chemberta_600_kmer3_8000,linear,chemberta_600,kmer3_8000,1.3953,0.5599,0.4971
